1|2|Public
5000|$|Isturgia limbaria, the <b>frosted</b> <b>yellow,</b> is a moth of {{the family}} Geometridae.|$|E
5000|$|... #Caption: Galileo {{spacecraft}} true-color {{image of}} Io. The dark spot just {{left of the}} center is the erupting volcano Prometheus. The whitish plains {{on either side of}} it are coated with volcanically deposited sulfur dioxide <b>frost,</b> whereas the <b>yellower</b> regions contain a higher proportion of sulfur.|$|R
5000|$|Paxton {{not only}} {{utilized}} {{the architecture of}} the human body but he used objects to emphasize how the body could manipulate itself around different objects. [...] He was interested in texture, shape, size, and even how the use of animals influenced or changed his dance vocabulary. This is apparent in such pieces as Jag Ville Gorna Telefonera (1964). In this piece he used three chickens, a full-sized overstuffed chair made of cake and <b>yellow</b> <b>frosting,</b> and clothes with zippers in the seams that could be taken off and put back together in an assortment of ways.|$|R

